Description,Address,Value,Type
Animation Cycle Frame Timer,2C268482,??,Byte
Sprite ID,2C268484,??,2 Byte
Animation Pause Timer,2C2684E0,??,Byte
Animation State,2C268510,??,Byte
Is Facing Right,2C268512,??,Byte
Combat,,,Byte
Normal Attack Held Direction,2C268362,??,Byte
Jumping Special Move Limiter,2C268514,??,Byte
Air Dash Count,2C268515,??,Byte
Normal Jumping Actions Counter,2C268516,??,Byte
Multiple Jumps Counter,2C268519,??,Byte
Normal Move Light/Medium/Heavy,2C268528,??,Byte
Current Special Move ID,2C268529,??,Byte
Special Attack Disable Timer,2C268532,??,Byte
Attack Disable Timer,2C268533,??,Byte
Has Been Thrown Count,2C26857A,??,Byte
DHC Special Move ID,2C268598,??,Byte
Assist ID,2C268809,??,Byte
Flight Timers,,,Byte
Flight Timer (Sentinel),2C2685E4,??,2 Byte
Flight Timer (Iron Man/War Machine),2C2685E8,??,2 Byte
Flight Timer (Magneto),2C2685EA,??,2 Byte
Flight Timer (Dhalsim),2C2685EC,??,2 Byte
Flight Timer (Doctor Doom/M. Bison),2C2685EE,??,2 Byte
Flight Timer (Storm),2C2685F4,??,2 Byte
Health,,,Byte
Dizzy Stun Counter,2C268521,??,Byte
Dizzy Stun Reset Timer,2C268522,??,Byte
Throw Immune Frame Timer,2C26852B,??,Byte
Attack Immune Frame Timer,2C26852D,??,Byte
Character Health,2C268760,??,Byte
Character Red Health,2C268764,??,Byte
Miscellaneous,,,Byte
Is Active,2C268340,??,Byte
Character ID,2C268341,??,Byte
Flying Screen Focus,2C268575,??,Byte
Distance From Enemy,2C2685D8,??,Float
CPU Control,2C268865,??,Byte
Character ID,2C26886C,??,Byte
Palette ID,2C26886D,??,Byte
Miscellaneous Timers,,,Byte
Camera Bounds Break Timer,2C268534,??,Byte
Snapout Character Disable Timer,2C2685E0,??,2 Byte
Modifiers,,,Byte
Speed Up,2C268540,??,Byte
Flight,2C268541,??,Byte
Hyper Armor,2C268542,??,Byte
Idle Hover Animation,2C268543,??,Byte
Damage Modifier,2C268545,??,Byte
Defense Modifier,2C268546,??,Byte
Landing Screen Shake Effect Intensity,2C268547,??,Byte
Movement,,,Byte
Velocity X,2C26839C,??,Float
Velocity Y,2C2683A0,??,Float
Gravity X,2C2683A8,??,Float
Gravity Y,2C2683AC,??,Float
Position,,,Byte
Arena Position X,2C268374,??,Float
Arena Position Y,2C268378,??,Float
Screen Position X,2C268420,??,Float
Screen Position Y,2C268424,??,Float
Pointers,,,Byte
Sprite Pointer,2C268494,??,4 Byte
DatGFX1 Pointer?,2C26849C,??,4 Byte
DatGFX2 Pointer?,2C2684A0,??,4 Byte
DatPal Pointer?,2C2684A4,??,4 Byte
Animations Pointer?,2C2684A8,??,4 Byte
Hitbox Pattern Table Pointer?,2C2684AC,??,4 Byte
Hitbox Table Pointer,2C2684B0,??,4 Byte
Attack Data Pointer?,2C2684B4,??,4 Byte
Projectile/Extras Pointer?,2C2684B8,??,4 Byte
DatFPNT Pointer?,2C2684BC,??,4 Byte
Prj Pointer?,2C2684C0,??,4 Byte
FAC Texture Pointer?,2C2684C4,??,4 Byte
Receiving Attack Pointer,2C2684FC,??,4 Byte
Hitbox Choice Pointer,2C268500,??,4 Byte
Enemy Pointer,2C26854C,??,4 Byte
Scaling,,,Byte
Sprite Scale X,2C268390,??,Float
Sprite Scale Y,2C268394,??,Float
Sprite Scale Z,2C268398,??,Float
Hitbox Scaling X,2C26842C,??,Float
Hitbox Scaling Y,2C268430,??,Float
Overall Scaling X,2C2685C4,??,Float
Overall Scaling Y,2C2685C8,??,Float
Overall Scaling Z,2C2685CC,??,Float
P1_B,,,Byte
Animation,,,Byte
Receiving Damage Animation State,2C268E8D,??,Byte
Special Move Animation State,2C268E8E,??,Byte
Is Facing Right,2C268F98,??,Byte
Animation Cycle Frame Timer,2C268FCA,??,Byte
Sprite ID,2C268FCC,??,2 Byte
Animation Pause Timer,2C269028,??,Byte
Animation State,2C269058,??,Byte
Is Facing Right,2C26905A,??,Byte
Combat,,,Byte
Normal Attack Held Direction,2C268EAA,??,Byte
Jumping Special Move Limiter,2C26905C,??,Byte
Air Dash Count,2C26905D,??,Byte
Normal Jumping Actions Counter,2C26905E,??,Byte
Multiple Jumps Counter,2C269061,??,Byte
Normal Move Light/Medium/Heavy,2C269070,??,Byte
Current Special Move ID,2C269071,??,Byte
Special Attack Disable Timer,2C26907A,??,Byte
Attack Disable Timer,2C26907B,??,Byte
Has Been Thrown Count,2C2690C2,??,Byte
DHC Special Move ID,2C2690E0,??,Byte
Assist ID,2C269351,??,Byte
Flight Timers,,,Byte
Flight Timer (Sentinel),2C26912C,??,2 Byte
Flight Timer (Iron Man/War Machine),2C269130,??,2 Byte
Flight Timer (Magneto),2C269132,??,2 Byte
Flight Timer (Dhalsim),2C269134,??,2 Byte
Flight Timer (Doctor Doom/M. Bison),2C269136,??,2 Byte
Flight Timer (Storm),2C26913C,??,2 Byte
Health,,,Byte
Dizzy Stun Counter,2C269069,??,Byte
Dizzy Stun Reset Timer,2C26906A,??,Byte
Throw Immune Frame Timer,2C269073,??,Byte
Attack Immune Frame Timer,2C269075,??,Byte
Character Health,2C2692A8,??,Byte
Character Red Health,2C2692AC,??,Byte
Miscellaneous,,,Byte
Is Active,2C268E88,??,Byte
Character ID,2C268E89,??,Byte
Flying Screen Focus,2C2690BD,??,Byte
Distance From Enemy,2C269120,??,Float
CPU Control,2C2693AD,??,Byte
Character ID,2C2693B4,??,Byte
Palette ID,2C2693B5,??,Byte
Miscellaneous Timers,,,Byte
Camera Bounds Break Timer,2C26907C,??,Byte
Snapout Character Disable Timer,2C269128,??,2 Byte
Modifiers,,,Byte
Speed Up,2C269088,??,Byte
Flight,2C269089,??,Byte
Hyper Armor,2C26908A,??,Byte
Idle Hover Animation,2C26908B,??,Byte
Damage Modifier,2C26908D,??,Byte
Defense Modifier,2C26908E,??,Byte
Landing Screen Shake Effect Intensity,2C26908F,??,Byte
Movement,,,Byte
Velocity X,2C268EE4,??,Float
Velocity Y,2C268EE8,??,Float
Gravity X,2C268EF0,??,Float
Gravity Y,2C268EF4,??,Float
Position,,,Byte
Arena Position X,2C268EBC,??,Float
Arena Position Y,2C268EC0,??,Float
Screen Position X,2C268F68,??,Float
Screen Position Y,2C268F6C,??,Float
Pointers,,,Byte
Sprite Pointer,2C268FDC,??,4 Byte
DatGFX1 Pointer?,2C268FE4,??,4 Byte
DatGFX2 Pointer?,2C268FE8,??,4 Byte
DatPal Pointer?,2C268FEC,??,4 Byte
Animations Pointer?,2C268FF0,??,4 Byte
Hitbox Pattern Table Pointer?,2C268FF4,??,4 Byte
Hitbox Table Pointer,2C268FF8,??,4 Byte
Attack Data Pointer?,2C268FFC,??,4 Byte
Projectile/Extras Pointer?,2C269000,??,4 Byte
DatFPNT Pointer?,2C269004,??,4 Byte
Prj Pointer?,2C269008,??,4 Byte
FAC Texture Pointer?,2C26900C,??,4 Byte
Receiving Attack Pointer,2C269044,??,4 Byte
Hitbox Choice Pointer,2C269048,??,4 Byte
Enemy Pointer,2C269094,??,4 Byte
Scaling,,,Byte
Sprite Scale X,2C268ED8,??,Float
Sprite Scale Y,2C268EDC,??,Float
Sprite Scale Z,2C268EE0,??,Float
Hitbox Scaling X,2C268F74,??,Float
Hitbox Scaling Y,2C268F78,??,Float
Overall Scaling X,2C26910C,??,Float
Overall Scaling Y,2C269110,??,Float
Overall Scaling Z,2C269114,??,Float
P1_C,,,Byte
Animation,,,Byte
Receiving Damage Animation State,2C2699D5,??,Byte
Special Move Animation State,2C2699D6,??,Byte
Is Facing Right,2C269AE0,??,Byte
Animation Cycle Frame Timer,2C269B12,??,Byte
Sprite ID,2C269B14,??,2 Byte
Animation Pause Timer,2C269B70,??,Byte
Animation State,2C269BA0,??,Byte
Is Facing Right,2C269BA2,??,Byte
Combat,,,Byte
Normal Attack Held Direction,2C2699F2,??,Byte
Jumping Special Move Limiter,2C269BA4,??,Byte
Air Dash Count,2C269BA5,??,Byte
Normal Jumping Actions Counter,2C269BA6,??,Byte
Multiple Jumps Counter,2C269BA9,??,Byte
Normal Move Light/Medium/Heavy,2C269BB8,??,Byte
Current Special Move ID,2C269BB9,??,Byte
Special Attack Disable Timer,2C269BC2,??,Byte
Attack Disable Timer,2C269BC3,??,Byte
Has Been Thrown Count,2C269C0A,??,Byte
DHC Special Move ID,2C269C28,??,Byte
Assist ID,2C269E99,??,Byte
Flight Timers,,,Byte
Flight Timer (Sentinel),2C269C74,??,2 Byte
Flight Timer (Iron Man/War Machine),2C269C78,??,2 Byte
Flight Timer (Magneto),2C269C7A,??,2 Byte
Flight Timer (Dhalsim),2C269C7C,??,2 Byte
Flight Timer (Doctor Doom/M. Bison),2C269C7E,??,2 Byte
Flight Timer (Storm),2C269C84,??,2 Byte
Health,,,Byte
Dizzy Stun Counter,2C269BB1,??,Byte
Dizzy Stun Reset Timer,2C269BB2,??,Byte
Throw Immune Frame Timer,2C269BBB,??,Byte
Attack Immune Frame Timer,2C269BBD,??,Byte
Character Health,2C269DF0,??,Byte
Character Red Health,2C269DF4,??,Byte
Miscellaneous,,,Byte
Is Active,2C2699D0,??,Byte
Character ID,2C2699D1,??,Byte
Flying Screen Focus,2C269C05,??,Byte
Distance From Enemy,2C269C68,??,Float
CPU Control,2C269EF5,??,Byte
Character ID,2C269EFC,??,Byte
Palette ID,2C269EFD,??,Byte
Miscellaneous Timers,,,Byte
Camera Bounds Break Timer,2C269BC4,??,Byte
Snapout Character Disable Timer,2C269C70,??,2 Byte
Modifiers,,,Byte
Speed Up,2C269BD0,??,Byte
Flight,2C269BD1,??,Byte
Hyper Armor,2C269BD2,??,Byte
Idle Hover Animation,2C269BD3,??,Byte
Damage Modifier,2C269BD5,??,Byte
Defense Modifier,2C269BD6,??,Byte
Landing Screen Shake Effect Intensity,2C269BD7,??,Byte
Movement,,,Byte
Velocity X,2C269A2C,??,Float
Velocity Y,2C269A30,??,Float
Gravity X,2C269A38,??,Float
Gravity Y,2C269A3C,??,Float
Position,,,Byte
Arena Position X,2C269A04,??,Float
Arena Position Y,2C269A08,??,Float
Screen Position X,2C269AB0,??,Float
Screen Position Y,2C269AB4,??,Float
Pointers,,,Byte
Sprite Pointer,2C269B24,??,4 Byte
DatGFX1 Pointer?,2C269B2C,??,4 Byte
DatGFX2 Pointer?,2C269B30,??,4 Byte
DatPal Pointer?,2C269B34,??,4 Byte
Animations Pointer?,2C269B38,??,4 Byte
Hitbox Pattern Table Pointer?,2C269B3C,??,4 Byte
Hitbox Table Pointer,2C269B40,??,4 Byte
Attack Data Pointer?,2C269B44,??,4 Byte
Projectile/Extras Pointer?,2C269B48,??,4 Byte
DatFPNT Pointer?,2C269B4C,??,4 Byte
Prj Pointer?,2C269B50,??,4 Byte
FAC Texture Pointer?,2C269B54,??,4 Byte
Receiving Attack Pointer,2C269B8C,??,4 Byte
Hitbox Choice Pointer,2C269B90,??,4 Byte
Enemy Pointer,2C269BDC,??,4 Byte
Scaling,,,Byte
Sprite Scale X,2C269A20,??,Float
Sprite Scale Y,2C269A24,??,Float
Sprite Scale Z,2C269A28,??,Float
Hitbox Scaling X,2C269ABC,??,Float
Hitbox Scaling Y,2C269AC0,??,Float
Overall Scaling X,2C269C54,??,Float
Overall Scaling Y,2C269C58,??,Float
Overall Scaling Z,2C269C5C,??,Float
P2_A,,,Byte
Animation,,,Byte
Receiving Damage Animation State,2C2688E9,??,Byte
Special Move Animation State,2C2688EA,??,Byte
Is Facing Right,2C2689F4,??,Byte
Animation Cycle Frame Timer,2C268A26,??,Byte
Sprite ID,2C268A28,??,2 Byte
Animation Pause Timer,2C268A84,??,Byte
Animation State,2C268AB4,??,Byte
Is Facing Right,2C268AB6,??,Byte
Combat,,,Byte
Normal Attack Held Direction,2C268906,??,Byte
Jumping Special Move Limiter,2C268AB8,??,Byte
Air Dash Count,2C268AB9,??,Byte
Normal Jumping Actions Counter,2C268ABA,??,Byte
Multiple Jumps Counter,2C268ABD,??,Byte
Normal Move Light/Medium/Heavy,2C268ACC,??,Byte
Current Special Move ID,2C268ACD,??,Byte
Special Attack Disable Timer,2C268AD6,??,Byte
Attack Disable Timer,2C268AD7,??,Byte
Has Been Thrown Count,2C268B1E,??,Byte
DHC Special Move ID,2C268B3C,??,Byte
Assist ID,2C268DAD,??,Byte
Flight Timers,,,Byte
Flight Timer (Sentinel),2C268B88,??,2 Byte
Flight Timer (Iron Man/War Machine),2C268B8C,??,2 Byte
Flight Timer (Magneto),2C268B8E,??,2 Byte
Flight Timer (Dhalsim),2C268B90,??,2 Byte
Flight Timer (Doctor Doom/M. Bison),2C268B92,??,2 Byte
Flight Timer (Storm),2C268B98,??,2 Byte
Health,,,Byte
Dizzy Stun Counter,2C268AC5,??,Byte
Dizzy Stun Reset Timer,2C268AC6,??,Byte
Throw Immune Frame Timer,2C268ACF,??,Byte
Attack Immune Frame Timer,2C268AD1,??,Byte
Character Health,2C268D04,??,Byte
Character Red Health,2C268D08,??,Byte
Miscellaneous,,,Byte
Is Active,2C2688E4,??,Byte
Character ID,2C2688E5,??,Byte
Flying Screen Focus,2C268B19,??,Byte
Distance From Enemy,2C268B7C,??,Float
CPU Control,2C268E09,??,Byte
Character ID,2C268E10,??,Byte
Palette ID,2C268E11,??,Byte
Miscellaneous Timers,,,Byte
Camera Bounds Break Timer,2C268AD8,??,Byte
Snapout Character Disable Timer,2C268B84,??,2 Byte
Modifiers,,,Byte
Speed Up,2C268AE4,??,Byte
Flight,2C268AE5,??,Byte
Hyper Armor,2C268AE6,??,Byte
Idle Hover Animation,2C268AE7,??,Byte
Damage Modifier,2C268AE9,??,Byte
Defense Modifier,2C268AEA,??,Byte
Landing Screen Shake Effect Intensity,2C268AEB,??,Byte
Movement,,,Byte
Velocity X,2C268940,??,Float
Velocity Y,2C268944,??,Float
Gravity X,2C26894C,??,Float
Gravity Y,2C268950,??,Float
Position,,,Byte
Arena Position X,2C268918,??,Float
Arena Position Y,2C26891C,??,Float
Screen Position X,2C2689C4,??,Float
Screen Position Y,2C2689C8,??,Float
Pointers,,,Byte
Sprite Pointer,2C268A38,??,4 Byte
DatGFX1 Pointer?,2C268A40,??,4 Byte
DatGFX2 Pointer?,2C268A44,??,4 Byte
DatPal Pointer?,2C268A48,??,4 Byte
Animations Pointer?,2C268A4C,??,4 Byte
Hitbox Pattern Table Pointer?,2C268A50,??,4 Byte
Hitbox Table Pointer,2C268A54,??,4 Byte
Attack Data Pointer?,2C268A58,??,4 Byte
Projectile/Extras Pointer?,2C268A5C,??,4 Byte
DatFPNT Pointer?,2C268A60,??,4 Byte
Prj Pointer?,2C268A64,??,4 Byte
FAC Texture Pointer?,2C268A68,??,4 Byte
Receiving Attack Pointer,2C268AA0,??,4 Byte
Hitbox Choice Pointer,2C268AA4,??,4 Byte
Enemy Pointer,2C268AF0,??,4 Byte
Scaling,,,Byte
Sprite Scale X,2C268934,??,Float
Sprite Scale Y,2C268938,??,Float
Sprite Scale Z,2C26893C,??,Float
Hitbox Scaling X,2C2689D0,??,Float
Hitbox Scaling Y,2C2689D4,??,Float
Overall Scaling X,2C268B68,??,Float
Overall Scaling Y,2C268B6C,??,Float
Overall Scaling Z,2C268B70,??,Float
P2_B,,,Byte
Animation,,,Byte
Receiving Damage Animation State,2C269431,??,Byte
Special Move Animation State,2C269432,??,Byte
Is Facing Right,2C26953C,??,Byte
Animation Cycle Frame Timer,2C26956E,??,Byte
Sprite ID,2C269570,??,2 Byte
Animation Pause Timer,2C2695CC,??,Byte
Animation State,2C2695FC,??,Byte
Is Facing Right,2C2695FE,??,Byte
Combat,,,Byte
Normal Attack Held Direction,2C26944E,??,Byte
Jumping Special Move Limiter,2C269600,??,Byte
Air Dash Count,2C269601,??,Byte
Normal Jumping Actions Counter,2C269602,??,Byte
Multiple Jumps Counter,2C269605,??,Byte
Normal Move Light/Medium/Heavy,2C269614,??,Byte
Current Special Move ID,2C269615,??,Byte
Special Attack Disable Timer,2C26961E,??,Byte
Attack Disable Timer,2C26961F,??,Byte
Has Been Thrown Count,2C269666,??,Byte
DHC Special Move ID,2C269684,??,Byte
Assist ID,2C2698F5,??,Byte
Flight Timers,,,Byte
Flight Timer (Sentinel),2C2696D0,??,2 Byte
Flight Timer (Iron Man/War Machine),2C2696D4,??,2 Byte
Flight Timer (Magneto),2C2696D6,??,2 Byte
Flight Timer (Dhalsim),2C2696D8,??,2 Byte
Flight Timer (Doctor Doom/M. Bison),2C2696DA,??,2 Byte
Flight Timer (Storm),2C2696E0,??,2 Byte
Health,,,Byte
Dizzy Stun Counter,2C26960D,??,Byte
Dizzy Stun Reset Timer,2C26960E,??,Byte
Throw Immune Frame Timer,2C269617,??,Byte
Attack Immune Frame Timer,2C269619,??,Byte
Character Health,2C26984C,??,Byte
Character Red Health,2C269850,??,Byte
Miscellaneous,,,Byte
Is Active,2C26942C,??,Byte
Character ID,2C26942D,??,Byte
Flying Screen Focus,2C269661,??,Byte
Distance From Enemy,2C2696C4,??,Float
CPU Control,2C269951,??,Byte
Character ID,2C269958,??,Byte
Palette ID,2C269959,??,Byte
Miscellaneous Timers,,,Byte
Camera Bounds Break Timer,2C269620,??,Byte
Snapout Character Disable Timer,2C2696CC,??,2 Byte
Modifiers,,,Byte
Speed Up,2C26962C,??,Byte
Flight,2C26962D,??,Byte
Hyper Armor,2C26962E,??,Byte
Idle Hover Animation,2C26962F,??,Byte
Damage Modifier,2C269631,??,Byte
Defense Modifier,2C269632,??,Byte
Landing Screen Shake Effect Intensity,2C269633,??,Byte
Movement,,,Byte
Velocity X,2C269488,??,Float
Velocity Y,2C26948C,??,Float
Gravity X,2C269494,??,Float
Gravity Y,2C269498,??,Float
Position,,,Byte
Arena Position X,2C269460,??,Float
Arena Position Y,2C269464,??,Float
Screen Position X,2C26950C,??,Float
Screen Position Y,2C269510,??,Float
Pointers,,,Byte
Sprite Pointer,2C269580,??,4 Byte
DatGFX1 Pointer?,2C269588,??,4 Byte
DatGFX2 Pointer?,2C26958C,??,4 Byte
DatPal Pointer?,2C269590,??,4 Byte
Animations Pointer?,2C269594,??,4 Byte
Hitbox Pattern Table Pointer?,2C269598,??,4 Byte
Hitbox Table Pointer,2C26959C,??,4 Byte
Attack Data Pointer?,2C2695A0,??,4 Byte
Projectile/Extras Pointer?,2C2695A4,??,4 Byte
DatFPNT Pointer?,2C2695A8,??,4 Byte
Prj Pointer?,2C2695AC,??,4 Byte
FAC Texture Pointer?,2C2695B0,??,4 Byte
Receiving Attack Pointer,2C2695E8,??,4 Byte
Hitbox Choice Pointer,2C2695EC,??,4 Byte
Enemy Pointer,2C269638,??,4 Byte
Scaling,,,Byte
Sprite Scale X,2C26947C,??,Float
Sprite Scale Y,2C269480,??,Float
Sprite Scale Z,2C269484,??,Float
Hitbox Scaling X,2C269518,??,Float
Hitbox Scaling Y,2C26951C,??,Float
Overall Scaling X,2C2696B0,??,Float
Overall Scaling Y,2C2696B4,??,Float
Overall Scaling Z,2C2696B8,??,Float
P2_C,,,Byte
Animation,,,Byte
Receiving Damage Animation State,2C269F79,??,Byte
Special Move Animation State,2C269F7A,??,Byte
Is Facing Right,2C26A084,??,Byte
Animation Cycle Frame Timer,2C26A0B6,??,Byte
Sprite ID,2C26A0B8,??,2 Byte
Animation Pause Timer,2C26A114,??,Byte
Animation State,2C26A144,??,Byte
Is Facing Right,2C26A146,??,Byte
Combat,,,Byte
Normal Attack Held Direction,2C269F96,??,Byte
Jumping Special Move Limiter,2C26A148,??,Byte
Air Dash Count,2C26A149,??,Byte
Normal Jumping Actions Counter,2C26A14A,??,Byte
Multiple Jumps Counter,2C26A14D,??,Byte
Normal Move Light/Medium/Heavy,2C26A15C,??,Byte
Current Special Move ID,2C26A15D,??,Byte
Special Attack Disable Timer,2C26A166,??,Byte
Attack Disable Timer,2C26A167,??,Byte
Has Been Thrown Count,2C26A1AE,??,Byte
DHC Special Move ID,2C26A1CC,??,Byte
Assist ID,2C26A43D,??,Byte
Flight Timers,,,Byte
Flight Timer (Sentinel),2C26A218,??,2 Byte
Flight Timer (Iron Man/War Machine),2C26A21C,??,2 Byte
Flight Timer (Magneto),2C26A21E,??,2 Byte
Flight Timer (Dhalsim),2C26A220,??,2 Byte
Flight Timer (Doctor Doom/M. Bison),2C26A222,??,2 Byte
Flight Timer (Storm),2C26A228,??,2 Byte
Health,,,Byte
Dizzy Stun Counter,2C26A155,??,Byte
Dizzy Stun Reset Timer,2C26A156,??,Byte
Throw Immune Frame Timer,2C26A15F,??,Byte
Attack Immune Frame Timer,2C26A161,??,Byte
Character Health,2C26A394,??,Byte
Character Red Health,2C26A398,??,Byte
Miscellaneous,,,Byte
Is Active,2C269F74,??,Byte
Character ID,2C269F75,??,Byte
Flying Screen Focus,2C26A1A9,??,Byte
Distance From Enemy,2C26A20C,??,Float
CPU Control,2C26A499,??,Byte
Character ID,2C26A4A0,??,Byte
Palette ID,2C26A4A1,??,Byte
Miscellaneous Timers,,,Byte
Camera Bounds Break Timer,2C26A168,??,Byte
Snapout Character Disable Timer,2C26A214,??,2 Byte
Modifiers,,,Byte
Speed Up,2C26A174,??,Byte
Flight,2C26A175,??,Byte
Hyper Armor,2C26A176,??,Byte
Idle Hover Animation,2C26A177,??,Byte
Damage Modifier,2C26A179,??,Byte
Defense Modifier,2C26A17A,??,Byte
Landing Screen Shake Effect Intensity,2C26A17B,??,Byte
Movement,,,Byte
Velocity X,2C269FD0,??,Float
Velocity Y,2C269FD4,??,Float
Gravity X,2C269FDC,??,Float
Gravity Y,2C269FE0,??,Float
Position,,,Byte
Arena Position X,2C269FA8,??,Float
Arena Position Y,2C269FAC,??,Float
Screen Position X,2C26A054,??,Float
Screen Position Y,2C26A058,??,Float
Pointers,,,Byte
Sprite Pointer,2C26A0C8,??,4 Byte
DatGFX1 Pointer?,2C26A0D0,??,4 Byte
DatGFX2 Pointer?,2C26A0D4,??,4 Byte
DatPal Pointer?,2C26A0D8,??,4 Byte
Animations Pointer?,2C26A0DC,??,4 Byte
Hitbox Pattern Table Pointer?,2C26A0E0,??,4 Byte
Hitbox Table Pointer,2C26A0E4,??,4 Byte
Attack Data Pointer?,2C26A0E8,??,4 Byte
Projectile/Extras Pointer?,2C26A0EC,??,4 Byte
DatFPNT Pointer?,2C26A0F0,??,4 Byte
Prj Pointer?,2C26A0F4,??,4 Byte
FAC Texture Pointer?,2C26A0F8,??,4 Byte
Receiving Attack Pointer,2C26A130,??,4 Byte
Hitbox Choice Pointer,2C26A134,??,4 Byte
Enemy Pointer,2C26A180,??,4 Byte
Scaling,,,Byte
Sprite Scale X,2C269FC4,??,Float
Sprite Scale Y,2C269FC8,??,Float
Sprite Scale Z,2C269FCC,??,Float
Hitbox Scaling X,2C26A060,??,Float
Hitbox Scaling Y,2C26A064,??,Float
Overall Scaling X,2C26A1F8,??,Float
Overall Scaling Y,2C26A1FC,??,Float
Overall Scaling Z,2C26A200,??,Float
Scripts,,,Byte
Table_Output_DC,,,Pointer
csvOUTPUT,,,Pointer
Write_CSV_ALL_7,,,Pointer
TVI_MVC2_TEX_EDIT,,,Byte
BG_Texture,2CEA0288,??,Byte
3D,,,Byte
HUD,,,Byte
AA Scan,,,Pointer
Convert Addresses to Symbols,,,Pointer
Main HUD Groups,,,Byte
01_Assists_OK,,,Byte
01_Addresses,,,Byte
Assists OK 01,2C160488,??,Float
Assists OK 02,2C160494,??,Float
Assists OK 03,2C1604A0,??,Float
Assists OK 04,2C1604AC,??,Float
Assists OK 05,2C1604B8,??,Float
Assists OK 06,2C1604C4,??,Float
02 Combo Meter & Comment,,,Byte
Meter_Text,2C26A90C,??,4 Byte
02_Addresses,,,Byte
P1_Message_XB,_P1_Message_XB,??,Float
P1 Combo Meter & Message-Y_(5),_P1_Message_XB+4,??,Float
P1 Combo Meter & Message-Z_(-40),_P1_Message_XB+8,??,Float
P2 Combo Meter & Message-X (40),_P1_Message_XB+1D0,??,Float
P2 Combo Meter & Message-Y_(5),_P1_Message_XB+1D4,??,Float
P2 Combo Meter & Message-Z_(-40),_P1_Message_XB+1D8,??,Float
03 Lifebars Meter Timer,,,Byte
03_Addresses,,,Byte
01 Lifebars,,,Byte
P1_A_Lifebar,,,Byte
P1_A_Lifebar_X,_P1_A_Lifebar_X,??,Float
P1_A_Lifebar_Y,_P1_A_Lifebar_X+4,??,Float
P1_A_Lifebar_Z,_P1_A_Lifebar_X+8,??,Float
P1_A_Lifebars,_P1_A_Lifebar_X-1C,??,4 Byte
P1_A_Lifebars,_P1_A_Lifebar_X+1B4,??,4 Byte
